Postcode,Latitude,Longitude,Price,% of London Avg
SE6 4,51.446421,-0.018444008,466,65
SE7 7,51.483026,0.034848417,496,70
SE7 8,51.484684,0.039329648,486,68
SE8 3,51.486013,-0.03159257,472,66
SE8 4,51.477001,-0.026162663,418,59
SE8 5,51.486539,-0.036150325,441,62
SE9 1,51.450353,0.062295515,589,83
SE9 2,51.438631,0.070688575,499,70
SE9 3,51.439408,0.053629394,475,67
SE9 4,51.428008,0.047752412,429,60
SE9 5,51.449085,0.052523676,428,60
SE9 6,51.45427,0.036260954,468,66
SM1 1,51.359919,-0.19302374,410,57
SM1 2,51.359434,-0.19536974,488,69
SM1 3,51.3708,-0.19304077,516,72
SM1 4,51.363609,-0.19091051,343,48
SM2 5,51.358872,-0.19102534,489,69
SM2 6,51.352066,-0.19347631,421,59
SM2 7,51.344157,-0.20484362,1200,170
SM3 8,51.355393,-0.22222803,584,82
SM3 9,51.372109,-0.2257041,510,72
SM4 4,51.384566,-0.22463315,569,80
SM4 5,51.400391,-0.20038566,442,62
SM4 6,51.397728,-0.18451893,430,60
SM5 1,51.380072,-0.18319141,399,56
SM5 2,51.378816,-0.16892894,409,57
SM5 3,51.366758,-0.15692599,568,80
SM5 4,51.35212,-0.15762835,699,98
SM6 0,51.365888,-0.15308218,404,57
SM6 7,51.371022,-0.13715775,403,57
SM6 8,51.363853,-0.14894072,472,66
SM6 9,51.358382,-0.1464179,490,69
SW10 0,51.477972,-0.18300497,1600,225
SW10 9,51.48367,-0.18691202,2500,346
SW11 1,51.464566,-0.16469231,899,126
SW11 2,51.461926,-0.17414111,647,91
SW11 3,51.472581,-0.165969,735,103
SW11 4,51.476496,-0.16679117,1100,151
SW11 5,51.471701,-0.16436279,761,107
SW11 6,51.453738,-0.15769974,1400,199
SW12 0,51.448263,-0.14243481,840,118
SW12 8,51.448791,-0.14910552,1000,144
SW12 9,51.445872,-0.15048993,853,120
SW13 0,51.471845,-0.24899353,1200,166
SW13 8,51.483833,-0.23231706,1300,181
SW13 9,51.482642,-0.23979467,1900,268
SW14 7,51.46141,-0.26996407,1000,142
SW14 8,51.467464,-0.2664525,1100,160
SW15 1,51.464133,-0.22292897,1200,163
SW15 2,51.459687,-0.21617766,983,138
SW15 3,51.452662,-0.23093062,651,91
SW15 4,51.448266,-0.23753351,419,59
SW15 5,51.46358,-0.23816722,802,113
SW15 6,51.460573,-0.21765463,765,107
SW16 1,51.438392,-0.13076338,548,77
SW16 2,51.424192,-0.12284192,485,68
SW16 3,51.416368,-0.12053066,625,88
SW16 4,51.41298,-0.12459549,479,67
SW16 5,51.418438,-0.13754617,527,74
SW16 6,51.427099,-0.13194355,585,82
SW17 0,51.433773,-0.18296084,568,80
SW17 6,51.428902,-0.15094514,479,67
SW17 7,51.436127,-0.15924283,950,133
